"REPORT_DATE","SERVICE_ID","ORDER_TYPE","ORDER_TYPE_L2"
2023-01-01,"4509868099",sign up,new
2023-01-01,"4510180879",sign up,new
2023-01-01,"4510307391",sign up,transfer
2023-01-02,"4511389147",sign up,new
2023-01-02,"4511955349",sign up,new
2023-01-03,"4513476677",sign up,new
2023-01-03,"4513733514",sign up,new
2023-01-03,"4514056982",sign up,transfer
2023-01-05,"4516010429",sign up,transfer
2023-01-05,"4516027654",sign up,new
2023-01-05,"4517406884",sign up,new
2023-01-05,"4517744616",sign up,transfer
2023-01-07,"4520447620",sign up,new
2023-01-07,"4520614103",sign up,new
2023-01-08,"4522079493",sign up,new
2023-01-08,"4522372166",sign up,new
2023-01-09,"4444914981",sign up,new
2023-01-09,"4524759403",sign up,new
2023-01-09,"4524765359",sign up,transfer
2023-01-09,"4525055777",sign up,new
2023-01-09,"4525267622",sign up,new
2023-01-10,"4526415489",sign up,new
2023-01-12,"4529605945",sign up,new
2023-01-12,"4530630484",sign up,transfer
2023-01-13,"4531942036",sign up,new
2023-01-13,"4532130772",sign up,new
2023-01-14,"4534517406",sign up,new
2023-01-14,"4534636185",sign up,new
2023-01-14,"4534867745",sign up,new
2023-01-15,"4534517406",sign up,new
2023-01-15,"4535310210",sign up,new
2023-01-15,"4535540482",sign up,transfer
2023-01-16,"4538850106",sign up,new
2023-01-17,"4539072650",sign up,new
2023-01-17,"4539357229",sign up,new
2023-01-17,"4539643383",sign up,new
2023-01-17,"4539855084",sign up,new
2023-01-18,"4542137932",sign up,new
2023-01-19,"4543478853",sign up,new
2023-01-20,"4544974041",sign up,transfer
2023-01-20,"4545972854",sign up,transfer
2023-01-21,"4547816262",sign up,new
2023-01-22,"4506525640",terminate,terminate
2023-01-22,"4548258297",sign up,new
2023-01-22,"4548764933",sign up,transfer
2023-01-22,"4549027400",sign up,new
2023-01-22,"4549047314",sign up,new
2023-01-23,"4550571514",sign up,transfer
2023-01-23,"4551312960",sign up,transfer
2023-01-23,"4551352561",sign up,new
2023-01-23,"4551679553",sign up,new
2023-01-23,"4552012906",sign up,new
2023-01-24,"4552905378",sign up,transfer
2023-01-24,"4552976498",sign up,new
2023-01-25,"4554902978",sign up,transfer
2023-01-27,"4401443345",terminate,terminate
2023-01-27,"4557638801",sign up,new
2023-01-28,"4560717044",sign up,new
2023-01-29,"4562344123",sign up,new
2023-01-29,"4562560532",sign up,transfer
2023-01-30,"4564541325",sign up,transfer
2023-02-01,"4567668283",sign up,new
2023-02-02,"4568985032",sign up,transfer
2023-02-02,"4569309679",sign up,new
2023-02-03,"4571976569",sign up,new
2023-01-31,"4565865029",sign up,new
2023-01-31,"4566024382",sign up,new
2023-02-04,"4514056982",terminate,terminate
2023-02-04,"4552976498",sign up,new
2023-02-04,"4572584647",sign up,new
2023-02-04,"4572994532",sign up,new
2023-02-04,"4573713832",sign up,new
2023-02-04,"4573904150",sign up,new
2023-02-05,"4246390716",terminate,terminate
2023-02-05,"4388217231",terminate,terminate
2023-02-05,"4571976569",sign up,new
2023-02-05,"4574674665",sign up,transfer
2023-02-05,"4575137102",sign up,new
2023-02-05,"4575415177",sign up,transfer
2023-02-06,"4577626589",sign up,new
2023-02-07,"4579046318",sign up,transfer
2023-02-08,"4577626589",sign up,new
2023-02-08,"4579937344",sign up,new
2023-02-09,"4582834468",sign up,new
2023-02-10,"4584408509",sign up,new
2023-02-11,"4253110911",sign up,new
2023-02-11,"4585900423",sign up,new
2023-02-11,"4586753246",sign up,new
2023-02-11,"4587042754",sign up,transfer
2023-02-12,"4588559515",sign up,new
2023-02-13,"4337123361",sign up,new
2023-02-13,"4590776361",sign up,transfer
2023-02-13,"4590804139",sign up,transfer
2023-02-13,"4590818674",sign up,new
2023-02-13,"4590843429",sign up,new
2023-02-13,"4590928239",sign up,transfer
2023-02-13,"4591169953",sign up,transfer
2023-02-14,"4591196222",sign up,new
2023-02-14,"4593036794",sign up,new
2023-02-15,"4593335909",sign up,new
2023-02-15,"4594321619",sign up,new
2023-02-15,"4594425414",sign up,new
2023-02-15,"4594475310",sign up,new
2023-02-16,"4595027282",sign up,transfer
2023-02-16,"4595704102",sign up,new
2023-02-16,"4595862057",sign up,new
2023-02-17,"4597463035",sign up,new
2023-02-17,"4597568269",sign up,new
2023-02-17,"4597600394",sign up,new
2023-02-17,"4597774351",sign up,transfer
2023-02-17,"4597933263",sign up,new
2023-02-18,"4600754561",sign up,new
2023-02-18,"4600891225",sign up,new
2023-02-19,"4601453856",sign up,new
2023-02-19,"4601860875",sign up,new
2023-02-19,"4602907439",sign up,new
2023-02-21,"4591196222",sign up,new
2023-02-21,"4605780614",sign up,new
2023-02-21,"4605842894",sign up,transfer
2023-02-22,"4607758099",sign up,new
2023-02-22,"4608565351",sign up,transfer
2023-02-22,"4608565614",sign up,new
2023-02-24,"4611631239",sign up,new
2023-02-24,"4612660509",sign up,new
2023-02-25,"4593036794",sign up,new
2023-02-25,"4613987118",sign up,new
