"REPORT_DATE","SERVICE_ID","SERVICE_NAME","SERVICE"
2023-01-01,"4260479090",plan 2,mobile
2023-01-01,"4275841169",plan 4,mobile
2023-01-01,"4339411016",plan 4,mobile
2023-01-01,"4509615988",plan 4,mobile
2023-01-01,"4509924692",plan 4,mobile
2023-01-02,"4302018300",plan 2,mobile
2023-01-02,"4302140418",plan 2,mobile
2023-01-02,"4319421708",plan 4,mobile
2023-01-02,"4415647082",plan 4,mobile
2023-01-02,"4416133951",plan 4,mobile
2023-01-02,"4462824632",plan 4,mobile
2023-01-03,"4360827617",plan 4,mobile
2023-01-03,"4417681759",plan 4,mobile
2023-01-04,"4302859921",plan 4,mobile
2023-01-04,"4514891842",plan 4,mobile
2023-01-04,"4514984741",plan 5,mobile
2023-01-05,"4287682040",plan 4,mobile
2023-01-05,"4459678867",plan 5,mobile
2023-01-06,"4345763958",plan 4,mobile
2023-01-06,"4376752435",plan 4,mobile
2023-01-06,"4423362626",plan 4,mobile
2023-01-06,"4502321894",plan 6,mobile
2023-01-06,"4519371197",plan 4,mobile
2023-01-06,"4519544706",plan 4,mobile
2023-01-07,"4322857603",plan 4,mobile
2023-01-07,"4424334979",plan 4,mobile
2023-01-07,"4469448543",plan 4,mobile
2023-01-09,"4288262485",plan 6,mobile
2023-01-09,"4323814475",plan 4,mobile
2023-01-10,"4266369051",plan 2,mobile
2023-01-10,"4279138250",plan 2,mobile
2023-01-10,"4304105277",plan 4,mobile
2023-01-10,"4324568003",plan 4,mobile
2023-01-10,"4428999837",plan 4,mobile
2023-01-10,"4462824632",plan 4,mobile
2023-01-11,"4350104487",plan 4,mobile
2023-01-11,"4431300628",plan 4,mobile
2023-01-12,"4433520522",plan 4,mobile
2023-01-13,"4386950647",plan 4,mobile
2023-01-13,"4387050008",plan 4,mobile
2023-01-13,"4434527964",plan 4,mobile
2023-01-13,"4434685847",plan 4,mobile
2023-01-14,"4252835154",plan 4,mobile
2023-01-14,"4258526110",plan 2,mobile
2023-01-14,"4388664457",plan 4,mobile
2023-01-15,"4253037905",plan 4,mobile
2023-01-15,"4253046163",plan 2,mobile
2023-01-15,"4253061290",plan 2,mobile
2023-01-15,"4328631003",plan 4,mobile
2023-01-15,"4388907693",plan 4,mobile
2023-01-15,"4398574257",plan 4,mobile
2023-01-15,"4481550647",plan 4,mobile
2023-01-16,"4253151806",plan 2,mobile
2023-01-16,"4291886746",plan 4,mobile
2023-01-16,"4537583544",plan 4,mobile
2023-01-17,"4391714995",plan 4,mobile
2023-01-18,"4310824256",plan 4,mobile
2023-01-18,"4441987062",plan 4,mobile
2023-01-19,"4330845684",plan 2,mobile
2023-01-19,"4543956979",plan 5,mobile
2023-01-20,"4359041079",plan 4,mobile
2023-01-20,"4445249701",plan 4,mobile
2023-01-20,"4489417187",plan 4,mobile
2023-01-21,"4312877230",plan 4,mobile
2023-01-21,"4361756182",plan 4,mobile
2023-01-22,"4260824880",plan 4,mobile
2023-01-22,"4304105277",plan 4,mobile
2023-01-22,"4333489717",plan 4,mobile
2023-01-22,"4492834602",plan 4,mobile
2023-01-22,"4548752045",plan 4,mobile
2023-01-22,"4549342137",plan 4,mobile
2023-01-23,"4254227963",plan 2,mobile
2023-01-23,"4284111566",plan 4,mobile
2023-01-23,"4401427317",plan 4,mobile
2023-01-23,"4494509271",plan 4,mobile
2023-01-24,"4272889314",plan 4,mobile
2023-01-24,"4450673680",plan 5,mobile
2023-01-24,"4450832273",plan 5,mobile
2023-01-24,"4495582128",plan 4,mobile
2023-01-24,"4552754014",plan 4,mobile
2023-01-25,"4497536881",plan 4,mobile
2023-01-26,"4335532452",plan 4,mobile
2023-01-26,"4365972298",plan 4,mobile
2023-01-26,"4405663265",plan 4,mobile
2023-01-26,"4454319071",plan 4,mobile
2023-01-26,"4499253431",plan 4,mobile
2023-01-26,"4556661134",plan 4,mobile
2023-01-27,"4337348296",plan 4,mobile
2023-01-27,"4365403467",plan 4,mobile
2023-01-28,"4271382124",plan 6,mobile
2023-01-28,"4274726107",plan 2,mobile
2023-01-28,"4559796291",plan 4,mobile
2023-01-29,"4299936653",plan 4,mobile
2023-01-29,"4410285755",plan 4,mobile
2023-01-29,"4457002739",plan 4,mobile
2023-01-29,"4504208310",plan 4,mobile
2023-01-30,"4370473763",plan 4,mobile
2023-01-30,"4411958865",plan 4,mobile
2023-02-01,"4275841169",plan 4,mobile
2023-02-01,"4339411016",plan 4,mobile
2023-02-01,"4509615988",plan 4,mobile
2023-02-01,"4509924692",plan 4,mobile
2023-02-01,"4568348762",plan 4,mobile
2023-02-02,"4260479090",plan 2,mobile
2023-02-02,"4302018300",plan 2,mobile
2023-02-02,"4302140418",plan 2,mobile
2023-02-02,"4319421708",plan 4,mobile
2023-02-02,"4415647082",plan 4,mobile
2023-02-02,"4416133951",plan 4,mobile
2023-02-02,"4462824632",plan 4,mobile
2023-02-03,"4360827617",plan 4,mobile
2023-02-03,"4417681759",plan 4,mobile
2023-01-31,"4507626866",plan 4,mobile
2023-01-31,"4508272963",plan 4,mobile
2023-02-04,"4302859921",plan 4,mobile
2023-02-04,"4514891842",plan 4,mobile
2023-02-04,"4514984741",plan 5,mobile
2023-02-05,"4287682040",plan 4,mobile
2023-02-06,"4345763958",plan 4,mobile
2023-02-06,"4376752435",plan 4,mobile
2023-02-06,"4423362626",plan 4,mobile
2023-02-06,"4519371197",plan 4,mobile
2023-02-06,"4519544706",plan 4,mobile
2023-02-07,"4322857603",plan 4,mobile
2023-02-07,"4424334979",plan 4,mobile
2023-02-07,"4469448543",plan 4,mobile
2023-02-07,"4579509086",plan 4,mobile
2023-02-09,"4288262485",plan 6,mobile
2023-02-09,"4323814475",plan 4,mobile
2023-02-10,"4266369051",plan 2,mobile
2023-02-10,"4279138250",plan 2,mobile
2023-02-10,"4304105277",plan 4,mobile
2023-02-10,"4324568003",plan 4,mobile
2023-02-10,"4428999837",plan 4,mobile
2023-02-10,"4584114788",plan 5,mobile
2023-02-10,"4584362518",plan 4,mobile
2023-02-11,"4350104487",plan 4,mobile
2023-02-11,"4431300628",plan 4,mobile
2023-02-12,"4433520522",plan 4,mobile
2023-02-12,"4589033604",plan 4,mobile
2023-02-13,"4386950647",plan 4,mobile
2023-02-13,"4387050008",plan 4,mobile
2023-02-13,"4434527964",plan 4,mobile
2023-02-13,"4434685847",plan 4,mobile
2023-02-13,"4590855193",plan 4,mobile
2023-02-14,"4252835154",plan 4,mobile
2023-02-14,"4253037905",plan 4,mobile
2023-02-14,"4258526110",plan 2,mobile
2023-02-14,"4388664457",plan 4,mobile
2023-02-14,"4591200587",plan 4,mobile
2023-02-14,"4591320551",plan 5,mobile
2023-02-15,"4253046163",plan 2,mobile
2023-02-15,"4253061290",plan 2,mobile
2023-02-15,"4328631003",plan 4,mobile
2023-02-15,"4388907693",plan 4,mobile
2023-02-15,"4593147717",plan 4,mobile
2023-02-16,"4253151806",plan 2,mobile
2023-02-16,"4291886746",plan 4,mobile
2023-02-16,"4481550647",plan 4,mobile
2023-02-16,"4537583544",plan 4,mobile
2023-02-17,"4391714995",plan 4,mobile
2023-02-18,"4310824256",plan 4,mobile
2023-02-18,"4441987062",plan 4,mobile
2023-02-19,"4330845684",plan 2,mobile
2023-02-21,"4312877230",plan 4,mobile
2023-02-22,"4260824880",plan 4,mobile
2023-02-22,"4333489717",plan 4,mobile
2023-02-22,"4492834602",plan 4,mobile
2023-02-22,"4548752045",plan 4,mobile
2023-02-22,"4549342137",plan 4,mobile
2023-02-24,"4272889314",plan 4,mobile
2023-02-24,"4450673680",plan 5,mobile
2023-02-24,"4450832273",plan 5,mobile
2023-02-24,"4552754014",plan 4,mobile
2023-02-24,"4611724315",plan 4,mobile
2023-02-25,"4497536881",plan 4,mobile
2023-02-25,"4613677441",plan 4,mobile
2023-02-25,"4615459640",plan 5,mobile
2023-02-26,"4335532452",plan 4,mobile
2023-02-26,"4365972298",plan 4,mobile
2023-02-26,"4405663265",plan 4,mobile
2023-02-26,"4499253431",plan 4,mobile
2023-02-26,"4556661134",plan 4,mobile
2023-02-27,"4337348296",plan 4,mobile
2023-02-27,"4365403467",plan 4,mobile
2023-02-27,"4454319071",plan 4,mobile
2023-02-27,"4618361923",plan 4,mobile
2023-02-27,"4619519169",plan 4,mobile
2023-02-28,"4271382124",plan 6,mobile
2023-02-28,"4274726107",plan 2,mobile
2023-02-28,"4559796291",plan 4,mobile
2023-02-28,"4299936653",plan 4,mobile
2023-02-28,"4410285755",plan 4,mobile
2023-02-28,"4457002739",plan 4,mobile
2023-02-28,"4504208310",plan 4,mobile
2023-02-28,"4370473763",plan 4,mobile
2023-02-28,"4411958865",plan 4,mobile
2023-02-28,"4508272963",plan 4,mobile
2023-02-28,"4624041131",plan 4,mobile
2023-02-23,"4254227963",plan 2,mobile
2023-02-23,"4284111566",plan 4,mobile
2023-02-23,"4401427317",plan 4,mobile
2023-02-23,"4494509271",plan 4,mobile
2023-02-23,"4610352071",plan 4,mobile
2023-02-23,"4611172539",plan 6,mobile
2023-02-20,"4359041079",plan 4,mobile
2023-02-20,"4445249701",plan 4,mobile
2023-02-20,"4489417187",plan 4,mobile
2023-02-20,"4543956979",plan 5,mobile
2023-02-20,"4604248837",plan 4,mobile
2023-01-01,"4371698417",plan 4,mobile
2023-01-03,"4464476681",plan 4,mobile
2023-01-04,"4418981730",plan 4,mobile
2023-01-04,"4420221287",plan 4,mobile
2023-01-04,"4514725644",plan 4,mobile
2023-01-04,"4515157413",plan 5,mobile
2023-01-05,"4250211923",plan 4,mobile
2023-01-05,"4376430903",plan 4,mobile
2023-01-06,"4256763508",plan 4,mobile
2023-01-06,"4322196384",plan 4,mobile
2023-01-08,"4323421070",plan 2,mobile
2023-01-08,"4425584141",plan 4,mobile
2023-01-08,"4471162960",plan 5,mobile
2023-01-08,"4471186108",plan 4,mobile
2023-01-08,"4523143646",plan 4,mobile
2023-01-09,"4257400963",plan 4,mobile
2023-01-09,"4257471510",plan 4,mobile
2023-01-09,"4304434568",plan 4,mobile
2023-01-09,"4381891318",plan 4,mobile
2023-01-09,"4427864250",plan 4,mobile
2023-01-12,"4529837035",plan 4,mobile
2023-01-13,"4386541785",plan 4,mobile
2023-01-13,"4434379372",plan 4,mobile
2023-01-14,"4353070997",plan 4,mobile
2023-01-14,"4381973805",plan 4,mobile
2023-01-14,"4388793897",plan 4,mobile
2023-01-14,"4435503274",plan 5,mobile
2023-01-14,"4435737277",plan 6,mobile
2023-01-14,"4534306020",plan 4,mobile
2023-01-14,"4534632335",plan 4,mobile
2023-01-14,"4534840300",plan 5,mobile
2023-01-15,"4285216764",plan 4,mobile
2023-01-15,"4328336785",plan 2,mobile
2023-01-15,"4437530989",plan 4,mobile
2023-01-15,"4481888934",plan 4,mobile
2023-01-16,"4253081472",plan 2,mobile
2023-01-16,"4259047745",plan 2,mobile
2023-01-16,"4438161635",plan 4,mobile
2023-01-17,"4259524595",plan 6,mobile
2023-01-17,"4308815664",plan 4,mobile
2023-01-17,"4539665443",plan 4,mobile
2023-01-17,"4539957685",plan 4,mobile
2023-01-17,"4540152192",plan 4,mobile
2023-01-18,"4253459042",plan 6,mobile
2023-01-18,"4253464898",plan 4,mobile
2023-01-18,"4253479060",plan 2,mobile
2023-01-18,"4330387768",plan 4,mobile
2023-01-18,"4355439235",plan 4,mobile
2023-01-19,"4442823395",plan 4,mobile
2023-01-19,"4443171137",plan 4,mobile
2023-01-19,"4443326949",plan 4,mobile
2023-01-20,"4305343128",plan 6,mobile
2023-01-20,"4489685577",plan 4,mobile
2023-01-20,"4545874967",plan 4,mobile
2023-01-21,"4280506881",plan 2,mobile
2023-01-21,"4360236172",plan 4,mobile
2023-01-21,"4446324827",plan 4,mobile
2023-01-21,"4547741360",plan 5,mobile
2023-01-22,"4260807944",plan 4,mobile
2023-01-22,"4271445491",plan 2,mobile
2023-01-22,"4282548418",plan 6,mobile
2023-01-22,"4492602206",plan 4,mobile
2023-01-22,"4492604485",plan 4,mobile
2023-01-22,"4492884930",plan 4,mobile
2023-01-23,"4311748172",plan 4,mobile
2023-01-23,"4313826959",plan 4,mobile
2023-01-23,"4401862724",plan 4,mobile
2023-01-23,"4540152192",plan 4,mobile
2023-01-24,"4363712427",plan 2,mobile
2023-01-24,"4495692613",plan 4,mobile
2023-01-24,"4552300470",plan 4,mobile
2023-01-25,"4253111079",plan 2,mobile
2023-01-25,"4315453200",plan 4,mobile
2023-01-25,"4335240280",plan 4,mobile
2023-01-25,"4452002569",plan 4,mobile
2023-01-25,"4498280462",plan 4,mobile
2023-01-26,"4557211770",plan 4,mobile
2023-01-27,"4558876203",plan 4,mobile
2023-01-29,"4334755088",plan 4,mobile
2023-01-29,"4504756799",plan 6,mobile
2023-01-30,"4411524307",plan 4,mobile
2023-01-30,"4413054972",plan 4,mobile
2023-01-30,"4506041658",plan 4,mobile
2023-01-30,"4564490859",plan 4,mobile
2023-01-30,"4564657312",plan 6,mobile
2023-02-01,"4371698417",plan 4,mobile
2023-02-03,"4572069693",plan 4,mobile
2023-01-31,"4507842140",plan 4,mobile
2023-02-04,"4418981730",plan 4,mobile
2023-02-04,"4464476681",plan 4,mobile
2023-02-04,"4514725644",plan 4,mobile
2023-02-04,"4515157413",plan 5,mobile
2023-02-05,"4250211923",plan 4,mobile
2023-02-05,"4376430903",plan 4,mobile
2023-02-05,"4420221287",plan 4,mobile
2023-02-06,"4256763508",plan 4,mobile
2023-02-06,"4322196384",plan 4,mobile
2023-02-06,"4576497763",plan 4,mobile
2023-02-06,"4576527232",plan 4,mobile
2023-02-06,"4577074309",plan 4,mobile
2023-02-08,"4323421070",plan 2,mobile
2023-02-08,"4425584141",plan 4,mobile
2023-02-08,"4471162960",plan 5,mobile
2023-02-08,"4471186108",plan 4,mobile
2023-02-08,"4523143646",plan 4,mobile
2023-02-09,"4257400963",plan 4,mobile
2023-02-09,"4257471510",plan 4,mobile
2023-02-09,"4304434568",plan 4,mobile
2023-02-09,"4381891318",plan 4,mobile
2023-02-09,"4427864250",plan 4,mobile
2023-02-11,"4586219834",plan 4,mobile
2023-02-12,"4529837035",plan 4,mobile
2023-02-13,"4386541785",plan 4,mobile
2023-02-13,"4434379372",plan 4,mobile
2023-02-13,"4589986084",plan 4,mobile
2023-02-13,"4590729904",plan 4,mobile
2023-02-13,"4590969327",plan 4,mobile
2023-02-13,"4591171064",plan 5,mobile
2023-02-14,"4353070997",plan 4,mobile
2023-02-14,"4381973805",plan 4,mobile
2023-02-14,"4388793897",plan 4,mobile
2023-02-14,"4435503274",plan 5,mobile
2023-02-14,"4435737277",plan 6,mobile
2023-02-14,"4534306020",plan 4,mobile
2023-02-14,"4534632335",plan 4,mobile
2023-02-14,"4534840300",plan 5,mobile
2023-02-15,"4285216764",plan 4,mobile
2023-02-15,"4328336785",plan 2,mobile
2023-02-15,"4437530989",plan 4,mobile
2023-02-15,"4481888934",plan 4,mobile
2023-02-15,"4594067315",plan 6,mobile
2023-02-15,"4594351971",plan 4,mobile
2023-02-15,"4594953248",plan 4,mobile
2023-02-16,"4253081472",plan 2,mobile
2023-02-16,"4259047745",plan 2,mobile
2023-02-16,"4438161635",plan 4,mobile
2023-02-16,"4595813430",plan 4,mobile
2023-02-17,"4259524595",plan 6,mobile
2023-02-17,"4308815664",plan 4,mobile
2023-02-17,"4539665443",plan 4,mobile
2023-02-17,"4539957685",plan 4,mobile
2023-02-17,"4540152192",plan 4,mobile
2023-02-17,"4597942978",plan 4,mobile
2023-02-18,"4253459042",plan 6,mobile
2023-02-18,"4253464898",plan 4,mobile
2023-02-18,"4253479060",plan 2,mobile
2023-02-18,"4330387768",plan 4,mobile
2023-02-19,"4355439235",plan 4,mobile
2023-02-19,"4442823395",plan 4,mobile
2023-02-19,"4443171137",plan 4,mobile
2023-02-19,"4443326949",plan 4,mobile
2023-02-19,"4601185679",plan 4,mobile
2023-02-19,"4602022249",plan 4,mobile
2023-02-19,"4602837588",plan 4,mobile
2023-02-21,"4280506881",plan 2,mobile
